_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
137,2021,Oct-Dec,1054856,6056498.0,304390,Black,M,Aged 25 to 34 years,Not a youth,12,,1.0,Police Category - Administrative,,,,,,1.0,None,None,None,None,None,137
138,2020,July-Sept,1023612,6014562.0,315537,White,M,Aged 18 to 24 years,Not a youth,54,1.0,1.0,Weapons & Homicide,,,,,,,1,1,1,1,0,138
139,2020,Jan-Mar,1042149,6041007.0,313162,White,M,Aged 18 to 24 years,Not a youth,52,1.0,1.0,Weapons & Homicide,,,,,,1.0,1,0,0,0,1,139
140,2020,Jan-Mar,1007122,6046048.0,313162,White,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,Drug Related,,,,,,,0,0,0,1,0,140
141,2020,Apr-June,1008398,6045766.0,313162,White,M,Aged 18 to 24 years,Not a youth,51,1.0,1.0,Drug Related,,,,,,1.0,1,0,0,1,0,141
142,2020,Apr-June,1047478,6014604.0,313162,White,M,Aged 18 to 24 years,Not a youth,52,,,Warrant,,,,,,1.0,None,None,None,None,None,142
143,2020,Oct-Dec,1054224,6017088.0,301228,Black,F,Aged 18 to 24 years,Not a youth,XX,,1.0,Weapons & Homicide,,,,,,,None,None,None,None,None,143
144,2021,Apr-June,1032877,6053545.0,301228,Black,F,Aged 18 to 24 years,Not a youth,22,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,144
145,2021,Oct-Dec,1005797,6015074.0,301228,Black,F,Aged 25 to 34 years,Not a youth,41,,1.0,Fraud,,,,,,,None,None,None,None,None,145
146,2021,Jan-Mar,1039443,6045429.0,303727,White,M,Aged 25 to 34 years,Not a youth,23,,,Drug Related,,,,,,1.0,None,None,None,None,None,146
147,2020,Apr-June,1014892,6052896.0,336511,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,1.0,,,,None,None,None,None,None,147
148,2021,Jan-Mar,1052363,6036162.0,309130,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,148
