HH_ID,AGEGRP,AGEIMM,CF_RP,CFSTAT,CFSTRUCT,CIP2021,CITIZEN,CITOTH,CMA,EF_RP,EMPIN,HDGREE,WEIGHT
41047,11,99,3,6,9,10,1,5,462,3,62000,7,100.111806
41048,10,99,3,6,9,10,1,5,999,3,39000,7,100.1576517
41049,11,99,3,6,9,5,1,5,999,3,1000,7,100.4176077
41050,8,99,1,1,1,10,1,5,999,1,21000,3,100.111806
41051,6,99,1,2,2,11,1,5,999,1,12000,5,100.4811749
41052,8,99,3,6,9,2,1,5,462,3,91000,8,100.111806
41053,13,99,1,1,1,5,1,5,462,1,99999999,6,100.111806
41054,6,99,1,2,2,10,1,5,999,1,54000,8,100.4811749
41055,88,99,1,2,2,13,1,5,999,1,77000,88,100.1576517
41056,13,99,1,3,3,13,1,5,999,1,99999999,1,100.111806
41057,5,99,3,6,9,13,1,5,999,3,31000,2,100.5951601
41058,7,99,1,3,3,4,1,5,835,1,57000,5,100.5951601
41059,13,7,1,1,1,2,2,2,999,1,99999999,4,100.4811749
41060,9,99,3,6,9,5,1,5,999,3,110000,3,100.111806
41061,11,99,1,1,1,13,1,5,535,1,12000,2,100.4176077
41062,7,99,1,2,2,5,3,2,462,1,14000,8,100.111806
41063,8,7,1,2,2,8,3,4,999,1,50000,6,100.9644705
41064,8,99,3,6,9,5,1,5,535,3,18000,7,100.4176077
41065,13,99,3,6,9,13,1,5,535,3,99999999,1,100.4176077
41066,11,99,3,6,9,4,1,5,535,3,99999999,5,100.4176077
41067,9,99,1,2,2,1,1,5,999,1,99000,8,100.4176077
41068,12,1,3,6,9,4,2,5,999,3,1,7,100.4176077
41069,11,4,1,1,1,8,2,5,933,1,14000,3,100.4811749
41070,10,99,3,6,9,13,1,5,999,3,52000,1,100.5951601
41071,5,99,3,6,9,2,1,5,999,3,48000,5,100.111806
41072,12,99,3,6,9,13,1,5,825,3,99999999,1,100.5951601
41073,13,99,1,1,1,13,1,5,999,1,99999999,1,100.1576517
41074,10,99,2,2,2,3,1,5,999,2,95000,7,100.9644705
41075,5,99,1,1,1,13,1,5,999,1,99999999,2,100.4176077
41076,12,7,3,6,9,8,2,5,999,3,20000,7,100.9644705
41077,13,99,3,8,9,10,1,5,999,2,99999999,5,100.4176077
41078,9,99,1,3,3,11,1,5,999,1,110000,5,100.4811749
41079,8,99,1,2,2,7,1,5,535,1,280000,7,100.4176077
41080,11,1,3,7,9,5,2,2,535,3,58000,8,100.4176077
41081,88,99,1,2,2,6,1,5,933,1,63000,88,100.4811749
41082,7,99,1,2,2,10,1,5,999,1,62000,7,100.4176077
41083,11,99,3,6,9,13,1,5,835,3,51000,2,100.5951601
41084,6,5,3,8,9,5,2,3,933,1,32000,8,100.4811749
41085,11,99,3,6,9,13,1,5,999,3,99999999,1,100.4176077
41086,11,99,1,1,1,8,1,5,933,1,13000,4,100.4811749
41087,12,4,1,1,1,5,2,2,999,1,53000,8,100.111806
41088,88,99,1,2,2,5,1,5,999,1,11000,6,100.4176077
41089,12,99,1,2,2,13,1,5,999,1,4000,2,100.111806
41090,5,4,1,1,1,10,3,2,462,1,61000,7,100.111806
41091,13,99,1,1,1,6,1,5,535,1,6000,7,100.4176077
41092,12,99,3,6,9,13,1,5,462,3,99999999,2,100.111806
41093,7,88,3,7,9,88,8,8,999,3,10000,88,100.4811749
41094,11,6,1,3,3,7,2,5,535,1,100000,7,100.4176077
41095,11,99,3,6,9,4,1,1,535,3,438125,7,100.4176077
41096,6,6,1,1,1,4,3,3,535,1,10000,7,100.4176077
41097,6,99,1,2,2,11,1,5,999,1,57000,5,100.4176077
41098,9,99,1,3,3,8,1,5,535,1,96000,5,100.4176077
41099,6,5,1,2,2,13,3,4,999,1,15000,2,100.4176077
41100,13,99,3,8,9,13,1,5,535,2,99999999,88,100.4176077
41101,12,99,1,1,1,5,1,5,535,1,99999999,5,100.4176077
41102,9,99,1,3,3,10,1,5,999,1,99999999,5,100.4176077
41103,10,99,1,3,3,11,1,5,999,1,170000,5,100.111806
41104,6,99,1,2,2,2,1,5,462,1,35000,5,100.111806
41105,13,99,3,6,9,1,1,5,999,3,99999999,7,100.4811749
41106,12,99,3,6,9,13,1,5,999,3,-3000,2,100.111806
41107,7,99,1,3,3,5,1,5,999,1,96000,5,100.5951601
