HH_ID,CMA,MODE,PWDUR,WEIGHT
124827,999,2,1,100.417607740762
124828,999,2,2,100.111805957177
124829,835,9,9,100.595160125175
124830,999,9,9,100.111805957177
124831,999,9,9,100.417607740762
124832,535,9,9,100.417607740762
124833,999,9,9,100.417607740762
124834,462,2,4,100.111805957177
124835,535,2,2,100.417607740762
124836,535,2,2,100.417607740762
124837,999,2,2,99.9745842484901
124838,835,9,9,100.595160125175
124839,999,4,2,100.964470533697
124840,999,9,9,100.417607740762
124841,535,9,9,100.417607740762
124842,999,9,9,100.481174883465
124843,999,9,9,100.417607740762
124844,462,9,9,100.111805957177
124845,999,2,1,100.111805957177
124846,999,2,1,100.15765171502
124847,535,9,9,100.417607740762
124848,999,9,9,100.42794720071
124849,999,7,1,100.595160125175
124850,999,9,9,100.481174883465
124851,999,9,9,100.481174883465
124852,933,9,9,100.481174883465
124853,999,9,9,100.111805957177
124854,999,9,9,100.417607740762
124855,999,2,2,100.111805957177
124856,999,9,9,100.417607740762
124857,999,6,3,100.595160125175
124858,825,9,9,100.595160125175
124859,999,9,9,100.481174883465
124860,999,9,9,100.179169992005
124861,462,2,2,100.111805957177
124862,999,2,3,100.964470533697
124863,535,2,2,100.417607740762
124864,933,9,9,100.481174883465
124865,999,2,1,100.417607740762
124866,999,9,9,100.111805957177
124867,999,9,9,100.481174883465
124868,999,9,9,100.481174883465
124869,835,2,1,100.595160125175
124870,999,9,9,100.417607740762
124871,462,9,9,100.111805957177
124872,999,2,1,100.179169992005
124873,462,9,9,100.111805957177
124874,999,9,9,100.417607740762
124875,999,9,9,100.481174883465
124876,999,2,2,100.42794720071
124877,999,2,2,100.481174883465
124878,999,7,1,101.098005203819
124879,462,9,9,100.111805957177
124880,999,9,9,100.417607740762
124881,835,2,2,100.595160125175
124882,999,9,9,100.481174883465
124883,999,9,9,100.111805957177
124884,535,9,9,100.417607740762
124885,999,9,9,100.417607740762
124886,535,9,9,100.417607740762
124887,535,9,9,100.417607740762
124888,999,2,2,100.417607740762
124889,999,2,2,100.417607740762
124890,999,5,5,99.9745842484901
124891,999,2,3,100.417607740762
124892,535,9,9,100.417607740762
124893,462,5,2,100.111805957177
124894,462,9,9,100.111805957177
124895,462,2,2,100.111805957177
124896,999,2,1,100.417607740762
124897,999,2,1,100.111805957177
124898,462,9,9,100.111805957177
124899,535,9,9,100.417607740762
124900,999,2,3,99.9745842484901
124901,825,2,3,100.595160125175
124902,462,9,9,100.111805957177
124903,999,9,9,100.417607740762
124904,999,5,4,100.111805957177
124905,462,9,9,100.111805957177
124906,999,9,9,100.417607740762
124907,835,9,9,100.595160125175
124908,999,9,9,100.111805957177
124909,535,6,4,100.417607740762
124910,999,9,9,100.481174883465
124911,999,1,2,100.481174883465
124912,999,9,9,100.417607740762
124913,933,6,5,100.481174883465
124914,999,2,2,100.417607740762
124915,999,2,5,100.595160125175
124916,535,2,3,100.417607740762
124917,462,9,8,100.111805957177
124918,999,9,9,100.595160125175
124919,999,9,9,100.522378089514
124920,999,9,8,100.42794720071
124921,999,2,2,100.417607740762
124922,999,9,9,100.595160125175
124923,999,9,9,100.417607740762
124924,999,2,3,100.964470533697
124925,535,2,3,100.417607740762
124926,999,2,3,100.481174883465
124927,462,9,9,100.111805957177
124928,535,2,2,100.417607740762
124929,462,2,5,100.111805957177
124930,999,9,9,100.417607740762
124931,462,6,4,100.111805957177
124932,999,9,9,100.417607740762
124933,999,9,8,100.481174883465
124934,999,2,4,100.417607740762
124935,999,2,5,100.417607740762
124936,999,2,2,100.111805957177
124937,999,9,9,100.179169992005
124938,535,9,9,100.417607740762
124939,933,9,9,100.481174883465
124940,999,6,4,100.417607740762
124941,933,9,9,100.481174883465
124942,999,2,1,100.417607740762
124943,999,9,8,100.417607740762
124944,933,2,2,100.481174883465
124945,999,9,9,100.481174883465
124946,999,2,2,100.417607740762
124947,535,9,9,100.417607740762
124948,999,9,9,100.417607740762
124949,535,2,3,100.417607740762
124950,999,9,9,100.111805957177
124951,835,6,3,100.595160125175
124952,999,9,9,100.417607740762
124953,825,9,9,100.595160125175
124954,999,2,1,100.417607740762
124955,999,2,2,100.417607740762
124956,999,2,2,100.417607740762
124957,999,2,1,100.417607740762
124958,535,9,9,100.417607740762
124959,999,2,1,100.595160125175
124960,999,2,1,100.417607740762
124961,999,9,9,100.481174883465
124962,999,9,9,100.417607740762
124963,999,7,1,100.964470533697
124964,933,9,9,100.481174883465
124965,999,2,2,100.417607740762
124966,535,7,1,100.417607740762
124967,462,9,9,100.111805957177
124968,999,2,2,100.42794720071
124969,462,7,2,100.111805957177
124970,825,2,1,100.595160125175
124971,462,5,2,100.111805957177
124972,933,9,9,100.481174883465
124973,999,9,9,100.417607740762
124974,999,2,2,100.595160125175
124975,999,9,9,100.964470533697
124976,999,5,2,100.417607740762
124977,535,9,9,100.417607740762
124978,462,9,9,100.111805957177
124979,999,9,9,100.15765171502
124980,835,9,9,100.595160125175
